"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","PopTot","PopPreSAC","PopSAC","PopAdult","Endemicity","PopReq","PopTrg","PopTreat","Cov","Cum_MDA","MDA","EffMDA","MDA_n","EffMDA_n","EpiCov","EpiMDA","EpiEffMDA","EpiMDA_n","EpiEffMDA_n","MDA_scheme","JRF_submitted","Endemicity_ID"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Aba North","36337",null,null,"0","ADM2","Aba North","36337","NGA0377536337","2022","159567","25531","44679","82975","Endemic (under post-intervention surveillance)","0","0","106140","0.0","5","0","0","4","4","0.0","0","0","4","4","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Aba South","36338",null,null,"0","ADM2","Aba South","36338","NGA0377536338","2022","629211","100674","176179","327190","Endemic (under post-intervention surveillance)","0","0","420362","0.0","5","0","0","4","3","0.0","0","0","4","4","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Arochukwu","36339",null,null,"0","ADM2","Arochukwu","36339","NGA0377536339","2022","252672","40427","70748","131389","Endemic (under post-intervention surveillance)","0","0","165880","0.0","24","0","0","7","6","0.0","0","0","7","6","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Bende","36340",null,null,"0","ADM2","Bende","36340","NGA0377536340","2022","285190","45630","79853","148299","Endemic (under post-intervention surveillance)","0","0","188795","0.0","24","0","0","7","6","0.0","0","0","7","6","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Ikwuano","36341",null,null,"0","ADM2","Ikwuano","36341","NGA0377536341","2022","204851","32776","57358","106523","Endemic (under post-intervention surveillance)","0","0","134281","0.0","24","0","0","7","6","0.0","0","0","7","6","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Isiala-Ngwa North","36342",null,null,"0","ADM2","Isiala-Ngwa North","36342","NGA0377536342","2022","228219","36515","63901","118674","Endemic (under post-intervention surveillance)","0","0","151165","0.0","10","0","0","7","4","0.0","0","0","7","5","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Isiala-Ngwa South","36343",null,null,"0","ADM2","Isiala-Ngwa South","36343","NGA0377536343","2022","200055","32009","56015","104029","Endemic (under post-intervention surveillance)","0","0","130807","0.0","10","0","0","7","5","0.0","0","0","7","5","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Isiukwuato","36344",null,null,"0","ADM2","Isiukwuato","36344","NGA0377536344","2022","169890","27182","47569","88343","Endemic (under post-intervention surveillance)","0","0","114518","0.0","24","0","0","7","6","0.0","0","0","7","6","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Obio-Ngwa","36345",null,null,"0","ADM2","Obio-Ngwa","36345","NGA0377536345","2022","269347","43096","75417","140061","Endemic (under post-intervention surveillance)","0","0","35133","0.0","5","0","0","4","4","0.0","0","0","4","4","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Ohafia","36346",null,null,"0","ADM2","Ohafia","36346","NGA0377536346","2022","363918","58227","101897","189237","Endemic (under post-intervention surveillance)","0","0","241119","0.0","24","0","0","7","6","0.0","0","0","7","6","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Osisioma Ngwa","36347",null,null,"0","ADM2","Osisioma Ngwa","36347","NGA0377536347","2022","326045","52167","91293","169543","Endemic (under post-intervention surveillance)","0","0","282108","0.0","5","0","0","4","4","0.0","0","0","4","4","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Ugwunagbo","36348",null,null,"0","ADM2","Ugwunagbo","36348","NGA0377536348","2022","122647","19624","34341","63776","Endemic (under post-intervention surveillance)","0","0","81385","0.0","5","0","0","4","4","0.0","0","0","4","4","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Ukwa East","36349",null,null,"0","ADM2","Ukwa East","36349","NGA0377536349","2022","87385","13982","24468","45440","Endemic (under post-intervention surveillance)","0","0","57457","0.0","20","0","0","7","6","0.0","0","0","7","6","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Ukwa West","36350",null,null,"0","ADM2","Ukwa West","36350","NGA0377536350","2022","131460","21034","36809","68359","Endemic (under post-intervention surveillance)","0","0","86433","0.0","20","0","0","7","6","0.0","0","0","7","6","ALB+IVM","1","3"
"Africa","Western Africa","AFRO","Nigeria","34","NI","NG","NGA","Abia","3775","Umu-Nneochi","36351",null,null,"0","ADM2","Umu-Nneochi","36351","NGA0377536351","2022","243352","38936","68139","126543","Endemic (under post-intervention surveillance)","0","0","165256","0.0","20","0","0","7","6","0.0","0","0","7","6","ALB+IVM","1","3"
