Country_code,IU_ID,IU_CODE,IU_name
AGO,2065,AGO0025102065,Chitembo
CMR,7473,CMR0082107473,BOGO
CMR,7474,CMR0082107474,BOURHA
CMR,7475,CMR0082107475,GAZAWA
CMR,7476,CMR0082107476,GOULFEY
CMR,7477,CMR0082107477,GUERE
CMR,7478,CMR0082107478,GUIDIGUIS
CMR,7479,CMR0082107479,HINA
CMR,7480,CMR0082107480,KAELE
CMR,7481,CMR0082107481,KAR HAY
CMR,7482,CMR0082107482,KOLOFATA
CMR,7483,CMR0082107483,KOUSSERI
CMR,7485,CMR0082107485,MADA
CMR,7486,CMR0082107486,MAGA
CMR,7487,CMR0082107487,MAKARY
CMR,7488,CMR0082107488,MAROUA 1
CMR,7489,CMR0082107489,MAROUA 2
CMR,7490,CMR0082107490,MAROUA 3
CMR,7491,CMR0082107491,MERI
CMR,7492,CMR0082107492,MINDIF
CMR,7493,CMR0082107493,MOGODE
CMR,7495,CMR0082107495,MORA
CMR,7496,CMR0082107496,MOULVOUDAYE
CMR,7497,CMR0082107497,MOUTOURWA
CMR,7498,CMR0082107498,PETTE
CMR,7500,CMR0082107500,TOKOMBERE
CMR,7501,CMR0082107501,VELE
CMR,7502,CMR0082107502,YAGOUA
CMR,7527,CMR0082307527,BIBEMI
CMR,7528,CMR0082307528,FIGUIL
CMR,7529,CMR0082307529,GAROUA I
CMR,7530,CMR0082307530,GAROUA II
CMR,7531,CMR0082307531,GASCHIGA
CMR,7532,CMR0082307532,GOLOMBE
CMR,7533,CMR0082307533,GUIDER
CMR,7535,CMR0082307535,MAYO OULO
CMR,7537,CMR0082307537,PITOA
CMR,7609,CMR0082107609,Fotokol
CAF,9661,CAF0964909661,BEGOUA
CAF,9662,CAF0964909662,BIMBO
CAF,9663,CAF0964909663,BODA
CAF,9664,CAF0964909664,BOSSEMBELE
CAF,9665,CAF0964909665,MBAIKI
CAF,9667,CAF0965009667,BERBERATI
CAF,9669,CAF0965009669,CARNOT-GADZI
CAF,9670,CAF0965009670,GAMBOULA
CAF,9671,CAF0965009671,SANGHA-MBAERE
COG,12836,COG0139212836,Kimongo-Londela Nkayes
COG,12849,COG0138912849,Madingo-Kayes Nzambi
COD,13816,COD2475313816,Bagata
COD,13818,COD2475313818,Bandundu
COD,13823,COD2475313823,Bulungu
COD,13824,COD2475313824,Djuma
COD,13825,COD2475213825,Feshi
COD,13826,COD2475313826,Gungu
COD,13827,COD2475313827,Idiofa
COD,13829,COD2475313829,Ipamu
COD,13832,COD2475213832,Kasongo Lunda
COD,13835,COD2475313835,Kikongo
COD,13842,COD2475213842,Kisanji
COD,13852,COD2475313852,Mukedi
COD,13861,COD2475213861,Popokabaka
COD,13869,COD2475513869,Boma
COD,13870,COD2475513870,Boma Bungu
COD,13880,COD2475513880,Kitona
COD,13881,COD2475513881,Kizu
COD,13882,COD2475513882,Kuimba
COD,13890,COD2475513890,Moanda
COD,13893,COD2475513893,Nzanza
COD,13897,COD2475513897,Tshela
COD,13898,COD2475513898,Vaku
COD,13902,COD2475913902,Bikoro
COD,13906,COD2476213906,Bogosenubia
COD,13907,COD2476213907,Bokonzi
COD,13912,COD2475913912,Bomongo
COD,13915,COD2476113915,Bosobolo
COD,13932,COD2476113932,Karawa
COD,13933,COD2476213933,Kungu
COD,13936,COD2476013936,Lisala
COD,13943,COD2476213943,Mawuya
COD,13944,COD2475913944,Mbandaka
COD,13953,COD2475913953,Ntondo
COD,13955,COD2476213955,Tandala
COD,13963,COD2476013963,Yambuku
COD,14027,COD2476714027,Kole
COD,14029,COD2476714029,Lomela
COD,14044,COD2476614044,Ngandajika
COD,14046,COD2476714046,Omendjadi
COD,14060,COD2476914060,Baka
COD,14062,COD2477214062,Bunkeya
COD,14065,COD2477214065,Dilolo
COD,14069,COD2476914069,Kabongo
COD,14077,COD2476914077,Kaniama
COD,14082,COD2477214082,Kasaji
COD,14083,COD2605914083,Kasenga
COD,14087,COD2605914087,Kenya
COD,14088,COD2477314088,Kiyambi
COD,14091,COD2605914091,Kilwa
COD,14095,COD2605914095,Kisanga
COD,14097,COD2477314097,Kongolo
COD,14099,COD2605914099,Likasi
COD,14102,COD2605914102,Lubumbashi
COD,14103,COD2605914103,Lukafu
COD,14106,COD2605914106,Manika
COD,14108,COD2477314108,Mbulula
COD,14110,COD2477314110,Moba
COD,14116,COD2477314116,Nyemba
COD,14121,COD2605914121,Sakania
COD,14122,COD2477214122,Sandoa
COD,14123,COD2476914123,Songa
COD,14204,COD2477614204,Mutwanga
COD,14213,COD2477814213,Aba
COD,14219,COD2477914219,Ariwara
COD,14224,COD2477914224,Bambu
COD,14233,COD2477914233,Bunia
COD,14236,COD2477814236,Doruma
COD,14240,COD2477914240,Fataki
COD,14243,COD2477814243,Gombari
COD,14244,COD2478014244,Isangi
COD,14246,COD2477914246,Jiba
COD,14249,COD2477914249,Kilo
COD,14253,COD2477914253,Linga
COD,14263,COD2477914263,Mangala
COD,14270,COD2477914270,Nizi
COD,14272,COD2477914272,Nyarambe
COD,14281,COD2477914281,Tchomia
COD,14292,COD2478014292,Yakusu
COD,14296,COD2478114296,Bunyakiri
COD,14297,COD2478114297,Fizi
COD,14298,COD2478114298,Hauts-Plateaux
COD,14300,COD2478114300,Idjwi
COD,14304,COD2478114304,Kalehe
COD,14305,COD2478114305,Kalole
COD,14309,COD2478114309,Katana
COD,14311,COD2478114311,Kimbi Lulenge
COD,14313,COD2478114313,Lemera
COD,14318,COD2478114318,Mubumbano
COD,14319,COD2478114319,Mulungu
COD,14321,COD2478114321,Mwenga
COD,14323,COD2478114323,Nyangezi
COD,14326,COD2478114326,Shabunda
ETH,19138,ETH0195019138,Bena Tsemay
ETH,19204,ETH0195019204,Jinka Town Admin
