State,LGA
Adamawa,Jada
Adamawa,Mubi North
Adamawa,Mubi South
Adamawa,Numan
Adamawa,Song
Adamawa,Toungo
Adamawa,Yola North
Adamawa,Yola South
Akwa Ibom,Etinan
Akwa Ibom,Ibesikpo Asutan
Akwa Ibom,Ikot Ekpene
Akwa Ibom,Uyo
ANAMBRA,Anambra East
ANAMBRA,Anambra West
ANAMBRA,Ogbaru
ANAMBRA,Onitsha North
ANAMBRA,Onitsha South
Borno,Abadam
Borno,Bama
Borno,Chibok
Borno,Damboa
Borno,Dikwa
Borno,Gubio
Borno,Guzamala
Borno,Gwoza
Borno,Jere
Borno,Kaga
Borno,Kala Balge
Borno,Konduga
Borno,Kukawa
Borno,Mafa
Borno,Magumeri
Borno,Maiduguri
Borno,Marte
Borno,Mobbar
Borno,Monguno
Borno,Ngala
Borno,Nganzai
DELTA,Bomadi
DELTA,Burutu
DELTA,Isoko South
DELTA,Patani
DELTA,Udu
DELTA,Ughelli South
DELTA,Uvwie
DELTA,Warri North
DELTA,Warri South
DELTA,Warri South West
EBONYI,Afikpo South
EDO,Egor
EDO,Oredo
IMO,Oguta
IMO,Ohaji/Egbema
IMO,Oru East
IMO,Oru West
IMO,Owerri municipal
Jigawa,Birinin Kudu
Jigawa,Buji
Jigawa,Gwaram
Jigawa,Gwiwa
Jigawa,Hadejia
Jigawa,Kazaure
Jigawa,Kiri Kasama
Jigawa,Mallam Madori
Jigawa,Roni
Jigawa,Yankwashi
Kaduna,Kaduna South
Kaduna,Zaria
Kano,Albasu
Kano,Bagwai
Kano,Bichi
Kano,Bunkure
Kano,Dala
Kano,Dawakin kudi
Kano,Fagge
Kano,Gabasawa
Kano,Garko
Kano,Gezawa
Kano,Gwale
Kano,Kano Municipal
Kano,Kibiya
Kano,Kumbosto
Kano,Kunchi
Kano,Minjibir
Kano,Nasarawa
Kano,Rano
Kano,Rimin Gado
Kano,Shanono
Kano,Tarauni
Kano,Tofa
Kano,Tsanyawa
Kano,Ungogo
Kano,Warawa
Kano,Wudil
Lagos,Agege
Lagos,Ajeromi-Ifelodun
Lagos,Alimosho
Lagos,Apapa
Lagos,Eti-Osa
Lagos,Ifako-Ijaye
Lagos,Ikeja
Lagos,Lagos Mainland
Lagos,Mushin
Lagos,Oshodi-Isolo
Lagos,Shomolu
Lagos,Surulere
NASARAWA,Awe
NASARAWA,Doma
NASARAWA,Keana
NASARAWA,Keffi
NASARAWA,Nasarawa
NASARAWA,Obi
Niger,Bida
Niger,Chanchaga
Niger,Edati
Niger,Paikoro
Osun,Oshogbo
Oyo,Ibadan North
Oyo,Ibadan North East
Oyo,Ibadan North West
Oyo,Ibadan South East
Oyo,Ibadan South West
Oyo,Ibarapa Central
Oyo,Ibarapa East
Oyo,Ibarapa North
Oyo,Surulere
Rivers,Asari-Toru
Rivers,Gokana
Rivers,Port-Harcourt
Sokoto,Sokoto North
Sokoto,Sokoto South
Taraba,Gassol
Taraba,Jalingo
Taraba,Wukari
Yobe,Bade
Yobe,Bursari
Yobe,Geidam
Yobe,Jakusko
Yobe,Karasuwa
Yobe,Machina
Yobe,Nguru
