ADMIN0,State,ADMIN1,LGA,ADMIN2,Supported,MDA_ever,MDA_yr_strt,Recomd_tx_plan,Last_mapping_REMO,Endemic_classification,Min_endemicity,Max_endemicity,REMO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nigeria,ABIA,Abia,Aba North,Aba North,CC,Yes,1993,Once yearly,1995,Endemic ,17.8012767,20.29202542,18.84762231,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,,,,,,,,,,,,,,,,,,,,72.30335268,69.95808854,68.53677796,,70.24520924
Nigeria,ABIA,Abia,Aba South,Aba South,CC,Yes,1993,Once yearly,1995,Endemic ,18.42051818,20.55047813,19.74455952,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,,,,,,,,,,,,,,,,,,,,63.63577714,72.14221105,65.94778233,,71.02630992
Nigeria,ABIA,Abia,Arochukwu,Arochukwu,CC,Yes,1993,Once yearly,1995,Endemic ,15.04616351,28.88194984,22.31918914,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,95.04885993,137.2029854,100.1344054,101.9516528,107.2905426,101.8781552,70.82142857,29.94194298,63.13421948,76.61675547,70.19074221,74.62884321,79.30339764,79.99592343,67.058552,61.9202862,92.24080885,91.15044257,77.95782295,69.60393369,72.59942559,68.77479958,,73.87071958
Nigeria,ABIA,Abia,Bende,Bende,CC,Yes,1993,Once yearly,1995,Endemic ,12.36482323,37.06209288,23.59173106,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,98.23219532,83.19716821,85.76472529,102.20484,109.4125273,102.0636455,58.25259616,34.77863876,69.81913455,84.46980909,80.77783427,70.55784981,73.63368921,70.55232518,75.96543103,77.08600363,80.74675609,71.4362186,77.89496876,75.56742618,78.57824869,66.62953551,,75.28914266
Nigeria,ABIA,Abia,Ikwuano,Ikwuano,CC,Yes,1993,Once yearly,1995,Endemic ,13.90745813,21.85739092,16.8711567,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,97.17852767,146.390007,118.2006594,184.2588727,186.9963268,101.2892873,65.2553947,17.52849467,67.56355989,76.3600084,76.8784153,67.97049946,73.73916853,80.22344465,77.8592758,80.49461508,87.9247613,65.91547271,76.80985119,78.48611626,79.55535537,68.21973978,,75.17649962
Nigeria,ABIA,Abia,Isiala-Ngwa North,Isiala-Ngwa North,CC,Yes,1993,Once yearly,1995,Endemic ,13.70877883,18.55302363,15.00811158,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,,,,,,,,,,,,,,,,,78.48928974,3.750142587,75.56842202,63.85777203,70.49063015,68.39480191,,77.07789884
Nigeria,ABIA,Abia,Isiala-Ngwa South,Isiala-Ngwa South,CC,Yes,1993,Once yearly,1995,Endemic ,13.96823132,15.77326701,14.83023244,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,,,,,,,,,,,,,,,,,77.14699978,4.176488665,78.3354839,79.49748861,79.06812677,70.15034639,,76.84722509
Nigeria,ABIA,Abia,Isuikwuato,Isiukwuato,CC,Yes,1993,Once yearly,1995,Endemic ,27.92893936,58.54141872,44.51339818,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,78.99009693,126.2729054,127.3264799,132.038639,131.6621784,102.270754,66.56431698,42.82725735,74.90989515,87.18120277,71.05549685,68.08452531,71.4709999,73.55852934,77.2386481,73.55425051,81.1885322,67.95716858,66.27510252,69.46491305,76.0006869,69.37563387,,72.87831915
Nigeria,ABIA,Abia,Obi Nwga,Obio-Ngwa,CC,Yes,1993,Once yearly,1995,Endemic ,13.04404924,21.67321074,16.23491036,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,,,,,,,,,,,,,,,,,,,,64.68227023,70.09560943,69.35102113,,68.04989604
Nigeria,ABIA,Abia,Ohafia,Ohafia,CC,Yes,1993,Once yearly,1995,Endemic ,10.50011007,27.96492296,18.56244985,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,89.67950202,107.7460053,109.5779611,118.3334612,112.6020121,102.1964105,59.41923453,21.4797136,68.59689343,78.76258286,80.75896523,68.72459907,72.98605373,74.90682811,70.05395974,66.80345084,77.87945917,74.23617891,76.05231446,72.29469172,73.73045851,68.85634473,,72.12816635
Nigeria,ABIA,Abia,Osisioma Ngwa,Osisioma Ngwa,CC,Yes,1993,Once yearly,1995,Endemic ,14.8042731,19.99322076,17.47765794,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,,,,,,,,,,,,,,,,,,,,77.78365698,70.78561837,65.7080574,,77.38972308
Nigeria,ABIA,Abia,Ugwunagbo,Ugwunagbo,CC,Yes,1993,Once yearly,1995,Endemic ,18.29219451,22.96582958,20.8172818,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,,,,,,,,,,,,,,,,,,,,26.10312566,74.03699112,71.57081394,,67.61160282
Nigeria,ABIA,Abia,Ukwa East,Ukwa East,CC,Yes,1993,Once yearly,1995,Endemic ,9.825540771,24.40350887,19.13272016,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,89.14189921,123.9196426,93.08772878,155.7248441,147.1173578,107.1290669,60.61530212,43.42807523,71.13477504,74.10160545,76.40751144,60.07285572,60.08830997,70.12032233,76.12956514,76.78207372,86.40318419,78.24054007,75.79210383,69.25399177,71.90633197,69.56596752,,77.74995232
Nigeria,ABIA,Abia,Ukwa West,Ukwa West,CC,Yes,1993,Once yearly,1995,Endemic ,7.335200142,20.28760806,14.70579308,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,88.12838878,128.7057667,130.4655506,121.9198583,125.5816859,102.4333931,35.03121023,49.88301989,70.22498704,78.99005078,71.96481383,75.28676946,75.4382382,71.61918377,76.61634155,80.16878869,75.53270221,70.25847715,72.8577449,59.12807953,75.500877,71.39931517,,74.63000535
Nigeria,ABIA,Abia,Umuahia North,Umuahia North,CC,Yes,1993,Once yearly,1995,Endemic ,16.59007379,33.87213721,22.17765259,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,,,,,,,,,,,,,,,,,81.13822653,3.169383446,73.39993757,51.98444978,77.88601314,68.29694065,,76.06949095
Nigeria,ABIA,Abia,Umuahia South,Umuahia South,CC,Yes,1993,Once yearly,1995,Endemic ,14.81562416,18.33785579,16.10000054,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,,,,,,,,,,,,,,,,,75.89285714,4.218313517,71.09711629,78.35015563,77.86329206,71.37106062,,76.74347526
Nigeria,ABIA,Abia,Umu-Nneochi,Umu-Nneochi,CC,Yes,1993,Once yearly,1995,Endemic ,41.84183134,56.74823809,50.04006336,,,,5.599665837,4.210230409,64.97050585,145.3107214,99.60907886,72.73691923,119.3334866,101.8241175,101.3856473,106.6462921,101.9824789,53.1042957,26.80618093,77.12325491,91.42007796,69.53433657,79.72733819,81.40431816,80.00073231,80.23967364,72.10583368,73.8497772,70.7153419,70.28774576,73.4291033,70.42208316,66.87760259,,76.95922829
Nigeria,Adamawa,Adamawa,Demsa,Demsa,HKI,Yes,1992,Once yearly,2000,Endemic ,1.509582533,5.809109961,3.16425876,,,2.599237523,2.490841585,6.695023329,16.16917302,43.63066294,33.68794148,22.87583301,31.37090508,30.34777034,35.57056311,62.41040325,36.68250241,39.48334173,82.59144663,83.01070989,83.04508286,89.69940946,83.44524209,82.78093572,78.06280322,80.67578409,59.73710841,100.119694,33.43583204,,65.04050406,69.69420993,76.93316913,80.03535461,
Nigeria,Adamawa,Adamawa,Fufore,Fufore,HKI,Yes,1992,Once yearly,2000,Endemic ,2.862155021,17.98210211,6.82913255,,,2.599237523,2.490841585,6.695023329,16.16917302,43.63066294,33.68794148,22.87583301,,,,,,80.78135555,76.86401255,74.34215389,74.52509424,94.96221662,84.10157402,84.1758499,70.38665751,73.31251171,72.69135229,99.19958163,46.50464622,,65.20147564,68.11262748,66.16167449,80.13899926,
Nigeria,Adamawa,Adamawa,Ganye,Ganye,HKI,Yes,1992,Once yearly,2000,Endemic ,9.88954658,52.31054465,33.13698242,,,2.599237523,2.490841585,6.695023329,16.16917302,43.63066294,33.68794148,22.87583301,62.96024368,63.18430793,57.12638126,58.23944209,49.49619477,49.93426798,85.72472441,87.68609479,88.21399635,90.72937321,76.89742111,83.67686552,83.46258832,85.72808167,78.40246864,96.96985026,29.14423443,,65.11350112,68.91102315,65.46136979,80.022209,
Nigeria,Adamawa,Adamawa,Girei,Girei,HKI,Yes,1992,Once yearly,2000,Endemic ,2.805847505,6.187436103,3.600913945,,,2.599237523,2.490841585,6.695023329,16.16917302,43.63066294,33.68794148,22.87583301,49.28600414,46.60248387,41.1134513,44.01923915,42.48504105,45.22296015,79.65412988,81.52538623,82.01393754,82.3579797,80.88666276,82.31649033,78.47801092,86.60822075,70.82897298,98.87474822,38.40625723,,83.33494314,66.49475653,68.01116071,80.03776932,
Nigeria,Adamawa,Adamawa,Gombi,Gombi,HKI,Yes,1992,Once yearly,2000,Endemic ,1.956177621,26.61121703,8.246941879,,,2.599237523,2.490841585,6.695023329,16.16917302,43.63066294,33.68794148,22.87583301,67.37716114,67.63970562,59.95839656,83.38824867,54.69070874,59.11900568,68.64155267,79.20218453,79.62550929,85.32990426,81.51499257,82.39786564,82.47826927,82.27255167,81.71738647,62.97372129,54.00072831,,75.16985961,67.19317139,65.09605953,71.44164065,
Nigeria,Adamawa,Adamawa,Guyuk,Guyuk,HKI,Yes,1992,Once yearly,2000,Endemic ,5.705259385,22.12599684,14.35407703,,,2.599237523,2.490841585,6.695023329,16.16917302,43.63066294,33.68794148,22.87583301,59.32355511,51.53727494,52.7807599,54.50574845,50.71658717,79.97329087,88.6538126,93.33805278,93.75828413,83.22579028,82.83076685,84.41118154,71.36172481,73.5207013,88.53269418,98.12748109,41.79857447,,65.42351809,66.03567556,68.87901452,80.38516641,
