"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","PopTot","PopPreSAC","PopSAC","PopAdult","Endemicity","PopReq","PopTrg","PopTreat","Cov","Cum_MDA","MDA","EffMDA","MDA_n","EffMDA_n","EpiCov","EpiMDA","EpiEffMDA","EpiMDA_n","EpiEffMDA_n","MDA_scheme","JRF_submitted","Endemicity_ID"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","BUNDIBUGYO","49721",null,null,"0","ADM2","BUNDIBUGYO","49721","UGA0512649721","2022","285031","40474","86079","148501","Non-endemic","0","0","0","0.0","5","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","BUSHENYI","49722",null,null,"0","ADM2","BUSHENYI","49722","UGA0512649722","2022","299628","42547","90488","156106","Endemic (under post-intervention surveillance)","0","0","0","0.0","13","0","0","0","0","0.0","0","0","0","0","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","BUSIA","49723",null,null,"0","ADM2","BUSIA","49723","UGA0512549723","2022","413954","58781","125014","215670","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Western Region","5126","Buhweju","49724",null,null,"0","ADM2","Buhweju","49724","UGA0512649724","2022","157744","22400","47639","82185","Endemic (under post-intervention surveillance)","0","0","0","0.0","15","0","0","0","0","0.0","0","0","0","0","Not delivered","1","3"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Buikwe","49725",null,null,"0","ADM2","Buikwe","49725","UGA0512449725","2022","554956","78804","167597","289132","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Bukomansimbi","49726",null,null,"0","ADM2","Bukomansimbi","49726","UGA0512449726","2022","192113","27280","58018","100091","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","Bukwo","49727",null,null,"0","ADM2","Bukwo","49727","UGA0512549727","2022","113498","16117","34276","59132","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","Bulambuli","49728",null,null,"0","ADM2","Bulambuli","49728","UGA0512549728","2022","225495","32020","68099","117483","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Eastern Region","5125","Butaleja","49729",null,null,"0","ADM2","Butaleja","49729","UGA0512549729","2022","312665","44398","94425","162898","Non-endemic","0","0","0","0.0","6","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Uganda","44","UG","UG","UGA","Central Region","5124","Butambala","49730",null,null,"0","ADM2","Butambala","49730","UGA0512449730","2022","127767","18143","38586","66567","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
