"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","PopTot","PopPreSAC","PopSAC","PopAdult","Endemicity","PopReq","PopTrg","PopTreat","Cov","Cum_MDA","MDA","EffMDA","MDA_n","EffMDA_n","EpiCov","EpiMDA","EpiEffMDA","EpiMDA_n","EpiEffMDA_n","MDA_scheme","JRF_submitted","Endemicity_ID"
"Africa","Eastern Africa","AFRO","Ethiopia","17","ET","ET","ETH","Addis Ababa","1941","Region 14","0",null,"Addis Ketema","18487","ADM3","Addis Ketema","18487","ETH0194118487","2022","366483","38848","105307","211409","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Ethiopia","17","ET","ET","ETH","Addis Ababa","1941","Region 14","0",null,"Akaki - Kalit","18488","ADM3","Akaki - Kalit","18488","ETH0194118488","2022","263449","27926","75701","151973","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Ethiopia","17","ET","ET","ETH","Addis Ababa","1941","Region 14","0",null,"Arada","18489","ADM3","Arada","18489","ETH0194118489","2022","304904","32320","87612","175886","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Ethiopia","17","ET","ET","ETH","Addis Ababa","1941","Region 14","0",null,"Bole","18490","ADM3","Bole","18490","ETH0194118490","2022","225647","23919","64838","130166","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Ethiopia","17","ET","ET","ETH","Addis Ababa","1941","Region 14","0",null,"Gulele","18491","ADM3","Gulele","18491","ETH0194118491","2022","384320","40738","110432","221698","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Ethiopia","17","ET","ET","ETH","Addis Ababa","1941","Region 14","0",null,"Kirkos","18492","ADM3","Kirkos","18492","ETH0194118492","2022","317640","33670","91272","183233","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Ethiopia","17","ET","ET","ETH","Addis Ababa","1941","Region 14","0",null,"Kolfe - Keran","18493","ADM3","Kolfe - Keran","18493","ETH0194118493","2022","615499","65244","176860","355055","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Ethiopia","17","ET","ET","ETH","Addis Ababa","1941","Region 14","0",null,"Lideta","18494","ADM3","Lideta","18494","ETH0194118494","2022","289788","30718","83269","167166","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Ethiopia","17","ET","ET","ETH","Addis Ababa","1941","Region 14","0",null,"Nefas Silk","18495","ADM3","Nefas Silk","18495","ETH0194118495","2022","452958","48014","130155","261292","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
"Africa","Eastern Africa","AFRO","Ethiopia","17","ET","ET","ETH","Addis Ababa","1941","Region 14","0",null,"Yeka","18496","ADM3","Yeka","18496","ETH0194118496","2022","362938","38472","104288","209363","Non-endemic","0","0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","0"
