IU_ID_MAPPING,ADMIN0,co_endemicity
18561,ETH,"oncho,LF"
18598,ETH,"oncho,LF"
18616,ETH,"oncho,LF"
18641,ETH,"oncho,LF"
18650,ETH,"oncho,LF"
18679,ETH,"oncho,LF"
18684,ETH,"oncho,LF"
18685,ETH,"oncho,LF"
18686,ETH,"oncho,LF"
18688,ETH,"oncho,LF"
18690,ETH,"oncho,LF"
18692,ETH,"oncho,LF"
18698,ETH,"oncho,LF"
18699,ETH,"oncho,LF"
18701,ETH,"oncho,LF"
18702,ETH,"oncho,LF"
18703,ETH,"oncho,LF"
18704,ETH,"oncho,LF"
18714,ETH,"oncho,LF"
18717,ETH,"oncho,LF"
18718,ETH,"oncho,LF"
18725,ETH,"oncho,LF"
18756,ETH,"oncho,LF"
18757,ETH,"oncho,LF"
18760,ETH,"oncho,LF"
18763,ETH,"oncho,LF"
18787,ETH,"oncho,LF"
18791,ETH,"oncho,LF"
18799,ETH,"oncho,LF"
18814,ETH,"oncho,LF"
18815,ETH,"oncho,LF"
18853,ETH,"oncho,LF"
18899,ETH,"oncho,LF"
19000,ETH,"oncho,LF"
19028,ETH,"oncho,LF"
19038,ETH,"oncho,LF"
19138,ETH,"oncho,LF"
19140,ETH,"oncho,LF"
19178,ETH,"oncho,LF"
19180,ETH,"oncho,LF"
19192,ETH,"oncho,LF"
19204,ETH,"oncho,LF"
19214,ETH,"oncho,LF"
19220,ETH,"oncho,LF"
19221,ETH,"oncho,LF"
19228,ETH,"oncho,LF"
19229,ETH,"oncho,LF"
19233,ETH,"oncho,LF"
19243,ETH,"oncho,LF"
19248,ETH,"oncho,LF"
19249,ETH,"oncho,LF"
19253,ETH,"oncho,LF"
19254,ETH,"oncho,LF"
19255,ETH,"oncho,LF"
19273,ETH,"oncho,LF"
19377,ETH,"oncho,LF"
19410,ETH,"oncho,LF"
19458,ETH,"oncho,LF"
19459,ETH,"oncho,LF"
19461,ETH,"oncho,LF"
19462,ETH,"oncho,LF"
19463,ETH,"oncho,LF"
19501,ETH,"oncho,LF"
19524,ETH,"oncho,LF"
19530,ETH,"oncho,LF"
19531,ETH,"oncho,LF"
19533,ETH,"oncho,LF"
19543,ETH,"oncho,LF"
19545,ETH,"oncho,LF"
19567,ETH,"oncho,LF"
19572,ETH,"oncho,LF"
18535,ETH,oncho
18549,ETH,oncho
18560,ETH,oncho
18567,ETH,oncho
18568,ETH,oncho
18576,ETH,oncho
18593,ETH,oncho
18606,ETH,oncho
18607,ETH,oncho
18612,ETH,oncho
18644,ETH,oncho
18658,ETH,oncho
18665,ETH,oncho
18666,ETH,oncho
18670,ETH,oncho
18675,ETH,oncho
18689,ETH,oncho
18691,ETH,oncho
18695,ETH,oncho
18700,ETH,oncho
18715,ETH,oncho
18721,ETH,oncho
18722,ETH,oncho
18723,ETH,oncho
18724,ETH,oncho
18726,ETH,oncho
18737,ETH,oncho
18738,ETH,oncho
18739,ETH,oncho
18741,ETH,oncho
18752,ETH,oncho
18754,ETH,oncho
18770,ETH,oncho
18771,ETH,oncho
18772,ETH,oncho
18773,ETH,oncho
18774,ETH,oncho
18777,ETH,oncho
18782,ETH,oncho
18794,ETH,oncho
18801,ETH,oncho
18802,ETH,oncho
18807,ETH,oncho
18808,ETH,oncho
18810,ETH,oncho
18811,ETH,oncho
18824,ETH,oncho
18830,ETH,oncho
18831,ETH,oncho
18843,ETH,oncho
18847,ETH,oncho
18852,ETH,oncho
18854,ETH,oncho
18857,ETH,oncho
18860,ETH,oncho
18861,ETH,oncho
18863,ETH,oncho
18865,ETH,oncho
18866,ETH,oncho
18867,ETH,oncho
18875,ETH,oncho
18878,ETH,oncho
18883,ETH,oncho
18885,ETH,oncho
18890,ETH,oncho
18892,ETH,oncho
18893,ETH,oncho
18894,ETH,oncho
18897,ETH,oncho
18903,ETH,oncho
18908,ETH,oncho
18909,ETH,oncho
18910,ETH,oncho
18913,ETH,oncho
18914,ETH,oncho
18917,ETH,oncho
18919,ETH,oncho
18921,ETH,oncho
18922,ETH,oncho
18923,ETH,oncho
18924,ETH,oncho
18926,ETH,oncho
18928,ETH,oncho
18929,ETH,oncho
18936,ETH,oncho
18941,ETH,oncho
18944,ETH,oncho
18946,ETH,oncho
18947,ETH,oncho
18948,ETH,oncho
18952,ETH,oncho
18953,ETH,oncho
18961,ETH,oncho
18962,ETH,oncho
18972,ETH,oncho
18973,ETH,oncho
18976,ETH,oncho
18977,ETH,oncho
18978,ETH,oncho
18979,ETH,oncho
18980,ETH,oncho
18988,ETH,oncho
18991,ETH,oncho
18995,ETH,oncho
18998,ETH,oncho
19005,ETH,oncho
19007,ETH,oncho
19008,ETH,oncho
19012,ETH,oncho
19019,ETH,oncho
19030,ETH,oncho
19034,ETH,oncho
19039,ETH,oncho
19115,ETH,oncho
19120,ETH,oncho
19126,ETH,oncho
19131,ETH,oncho
19141,ETH,oncho
19143,ETH,oncho
19150,ETH,oncho
19151,ETH,oncho
19153,ETH,oncho
19167,ETH,oncho
19183,ETH,oncho
19184,ETH,oncho
19186,ETH,oncho
19188,ETH,oncho
19218,ETH,oncho
19223,ETH,oncho
19225,ETH,oncho
19226,ETH,oncho
19230,ETH,oncho
19235,ETH,oncho
19236,ETH,oncho
19245,ETH,oncho
19256,ETH,oncho
19258,ETH,oncho
19259,ETH,oncho
19260,ETH,oncho
19272,ETH,oncho
19338,ETH,oncho
19339,ETH,oncho
19371,ETH,oncho
19373,ETH,oncho
19374,ETH,oncho
19375,ETH,oncho
19376,ETH,oncho
19383,ETH,oncho
19385,ETH,oncho
19386,ETH,oncho
19408,ETH,oncho
19409,ETH,oncho
19411,ETH,oncho
19427,ETH,oncho
19449,ETH,oncho
19457,ETH,oncho
19460,ETH,oncho
19477,ETH,oncho
19479,ETH,oncho
19480,ETH,oncho
19488,ETH,oncho
19489,ETH,oncho
19508,ETH,oncho
19521,ETH,oncho
19529,ETH,oncho
19532,ETH,oncho
19535,ETH,oncho
19536,ETH,oncho
19537,ETH,oncho
19538,ETH,oncho
19539,ETH,oncho
19555,ETH,oncho
19556,ETH,oncho
19557,ETH,oncho
19570,ETH,oncho
19588,ETH,oncho
2049,AGO,"oncho,LF,loa"
2050,AGO,"oncho,LF,loa"
2053,AGO,"oncho,LF,loa"
2062,AGO,"oncho,LF,loa"
2068,AGO,"oncho,LF,loa"
2072,AGO,"oncho,LF,loa"
2073,AGO,"oncho,LF,loa"
2074,AGO,"oncho,LF,loa"
2085,AGO,"oncho,LF,loa"
2086,AGO,"oncho,LF,loa"
