Country_code,IU_ID,IU_CODE,IU_name
BEN,3228,BEN0036903228,Allada
BEN,3229,BEN0036903229,Kpomasse
BEN,3230,BEN0036903230,Ouidah
BEN,3233,BEN0036903233,Torri-Bossito
BEN,3258,BEN0037303258,Toviklin
BEN,3261,BEN0037503261,Bopa
BEN,3262,BEN0037503262,Come
BEN,3263,BEN0037503263,Grand-popo
BEN,3264,BEN0037503264,Houeyogbe
BEN,3268,BEN0037603268,Adjohoun
BEN,3269,BEN0037603269,Aguegues
BEN,3270,BEN0037603270,Akpro-Misserete
BEN,3271,BEN0037603271,Avrankou
BEN,3273,BEN0037603273,Dangbo
BEN,3276,BEN0037703276,Sakete
BEN,3279,BEN0037703279,Ifangni
BEN,3280,BEN0037703280,Pobe
BEN,3283,BEN0037803283,Bohicon
BEN,3284,BEN0037803284,Cove
BFA,5312,BFA0058805312,BOROMO
BFA,5313,BFA0058805313,DEDOUGOU
BFA,5314,BFA0058805314,NOUNA
BFA,5315,BFA0058805315,SOLENZO
BFA,5316,BFA0058805316,TOMA
BFA,5317,BFA0058805317,TOUGAN
BFA,5320,BFA0058905320,SINDOU
BFA,5321,BFA0059005321,BASKUY
BFA,5322,BFA0059005322,BOGODOGO
BFA,5323,BFA0059005323,BOULMIOUGOU
BFA,5324,BFA0059005324,SIGHNOGHIN
BFA,5325,BFA0059005325,NONGREMASSOM
BFA,5326,BFA0059105326,BITTOU
BFA,5327,BFA0059105327,GARANGO
BFA,5328,BFA0059105328,KOUPELA
BFA,5329,BFA0059105329,OUARGAYE
BFA,5330,BFA0059105330,POUYTENGA
BFA,5331,BFA0059105331,TENKODOGO
BFA,5332,BFA0059105332,ZABRE
BFA,5333,BFA0059205333,BARSALOGHO
BFA,5334,BFA0059205334,BOULSA
BFA,5335,BFA0059205335,KAYA
BFA,5336,BFA0059205336,KONGOUSSI
BFA,5337,BFA0059305337,KOUDOUGOU
BFA,5338,BFA0059305338,LEO
BFA,5339,BFA0059305339,NANORO
BFA,5340,BFA0059305340,REO
BFA,5341,BFA0059305341,SAPOUY
BFA,5342,BFA0059405342,KOMBISSIRI
BFA,5343,BFA0059405343,MANGA
BFA,5344,BFA0059405344,PO
BFA,5345,BFA0059405345,SAPONE
BFA,5346,BFA0059505346,BOGANDE
BFA,5347,BFA0059505347,DIAPAGA
BFA,5348,BFA0059505348,FADA
BFA,5349,BFA0059505349,GAYERI
BFA,5350,BFA0059505350,MANI
BFA,5351,BFA0059505351,PAMA
BFA,5352,BFA0059605352,DAFRA
BFA,5353,BFA0059605353,DANDE
BFA,5354,BFA0059605354,DO
BFA,5355,BFA0059605355,HOUNDE
BFA,5356,BFA0059605356,KARANGASSO - VIGUE
BFA,5357,BFA0059605357,LENA
BFA,5358,BFA0059605358,ORODARA
BFA,5359,BFA0059705359,GOURCY
BFA,5361,BFA0059705361,SEGUENEGA
BFA,5363,BFA0059705363,YAKO
BFA,5364,BFA0059805364,BOUSSE
BFA,5365,BFA0059805365,ZINIARE
BFA,5366,BFA0059805366,ZORGHO
BFA,5370,BFA0059905370,SEBBA
CIV,15331,CIV0162115331,Grand-Lahou
CIV,15332,CIV0162115332,Jacqueville
CIV,15333,CIV0160715333,YOPOUGON EST
CIV,15334,CIV0160715334,YOPOUGON OUEST
CIV,15338,CIV0160815338,COCODY-BINGERVILLE
CIV,15364,CIV0161715364,BOUAKE SUD
CIV,15367,CIV0163515367,San Pedro
CIV,15389,CIV0163015389,Sinfra
CIV,15401,CIV0161115401,Tengrela
GHA,21429,GHA0217321429,Sunyani
GHA,21434,GHA0217221434,Techiman
GHA,21437,GHA0216321437,Abura/Asebu/Kwamankese
GHA,21438,GHA0216321438,Agona East
GHA,21439,GHA0216321439,Agona West
GHA,21440,GHA0216321440,Ajumako/Enyan/Essiam
GHA,21441,GHA0216321441,Asikuma/Odoben/Brakwa
GHA,21444,GHA0216321444,Awutu Senya East
GHA,21445,GHA0216321445,Awutu Senya West
GHA,21446,GHA0216321446,Cape Coast
GHA,21447,GHA0216321447,Effutu
GHA,21448,GHA0216321448,Ekumfi
GHA,21450,GHA0216321450,Gomoa West
GHA,21451,GHA0216321451,Komenda/Edina/Eguafo/Abirem
GHA,21453,GHA0216321453,Mfantseman
GHA,21459,GHA0216421459,Akwapim South
GHA,21463,GHA0216421463,Ayensuano
GHA,21480,GHA0216421480,Nsawam Adoagyire
GHA,21483,GHA0216421483,Upper West Akim
GHA,21492,GHA0216521492,Ga Central
GHA,21493,GHA0216521493,Ga East
GHA,21497,GHA0216521497,La Dade-Kotopon
GHA,21498,GHA0216521498,La Nkwantanang-Madina
GHA,21505,GHA0217421505,Central Gonja
GHA,21508,GHA0217521508,East Mamprusi
GHA,21510,GHA0216621510,Karaga
GHA,21514,GHA0216621514,Mion
GHA,21519,GHA0216621519,Sagnarigu
GHA,21523,GHA0216621523,Tamale
GHA,21525,GHA0216621525,Tolon
GHA,21526,GHA0217421526,West Gonja
GHA,21527,GHA0217521527,West Mamprusi
GHA,21528,GHA0216621528,Yendi
GHA,21530,GHA0216721530,Bawku
GHA,21532,GHA0216721532,Binduri
GHA,21534,GHA0216721534,Bongo
GHA,21539,GHA0216721539,Kassena Nankana East
GHA,21541,GHA0216721541,Nabdam
GHA,21542,GHA0216721542,Pusiga
