Country_code,IU_ID,IU_CODE,IU_name
GHA,21543,GHA0216721543,Talensi
GHA,21546,GHA0216821546,Lambussie Karni
GHA,21551,GHA0216821551,Sissala West
GHA,21553,GHA0216821553,Wa
GHA,21580,GHA0217021580,Ahanta West
GHA,21587,GHA0217021587,Ellembelle
GHA,21597,GHA0217021597,Shama
GHA,21611,GHA0216121611,Amansie West
GHA,21631,GHA0216321631,Gomoa Central
GHA,21632,GHA0216321632,Gomoa East
GHA,21633,GHA0216421633,Okere
GHA,21646,GHA0216421646,New Juaben South
GHA,21653,GHA0216521653,Ayawaso West
GHA,21655,GHA0216521655,Okaikwei North
GHA,21656,GHA0216521656,Accra Metropolitan Area
GHA,21658,GHA0216521658,Ga South
GHA,21659,GHA0216521659,Ga North
GHA,21660,GHA0216521660,Ga West
GHA,21665,GHA0217521665,Bunkpurugu-Nakpanduri
GHA,21666,GHA0217521666,Yunyoo-Nasuan
GHA,21667,GHA0216621667,Nanton
GHA,21671,GHA0216721671,Bolgatanga East
GHA,21672,GHA0216721672,Bolgatanga
GHA,21673,GHA0216721673,Garu
GHA,21677,GHA0217021677,Effia Kwesimintsim
MLI,29972,MLI0311129972,Commune I
MLI,29974,MLI0311129974,Commune III
MLI,29975,MLI0311129975,Commune IV
MLI,29976,MLI0311129976,Commune V
MLI,29977,MLI0311129977,Commune VI
MLI,30004,MLI0311630004,Bandiagara
MLI,30005,MLI0311630005,Bankass
MLI,30006,MLI0311630006,Djenne
MLI,30012,MLI0311730012,Baroueli
MLI,30013,MLI0311730013,Bla
MLI,30017,MLI0311730017,San
MLI,30019,MLI0311730019,Tominian
MLI,30021,MLI0311830021,Kadiolo
MLI,30024,MLI0311830024,Koutiala
MLI,30029,MLI0311830029,Yorosso
NER,35315,NER0367135315,Niamey 5
BFA,53001,BFA0059253001,BOUSSOUMA
BFA,53002,BFA0059253002,TOUGOURI
BFA,53003,BFA0059353003,SABOU
BFA,53004,BFA0059353004,TENADO
BFA,53005,BFA0059653005,N'DOROLA
BFA,53007,BFA0060053007,KAMPTI
