IU_ID_MAPPING,ADMIN0,co_endemicity
3214,BEN,"oncho,LF"
3215,BEN,"oncho,LF"
3217,BEN,"oncho,LF"
3220,BEN,"oncho,LF"
3221,BEN,"oncho,LF"
3225,BEN,"oncho,LF"
3226,BEN,"oncho,LF"
3228,BEN,"oncho,LF"
3229,BEN,"oncho,LF"
3230,BEN,"oncho,LF"
3233,BEN,"oncho,LF"
3240,BEN,"oncho,LF"
3243,BEN,"oncho,LF"
3244,BEN,"oncho,LF"
3246,BEN,"oncho,LF"
3248,BEN,"oncho,LF"
3254,BEN,"oncho,LF"
3255,BEN,"oncho,LF"
3256,BEN,"oncho,LF"
3257,BEN,"oncho,LF"
3258,BEN,"oncho,LF"
3260,BEN,"oncho,LF"
3261,BEN,"oncho,LF"
3262,BEN,"oncho,LF"
3263,BEN,"oncho,LF"
3264,BEN,"oncho,LF"
3265,BEN,"oncho,LF"
3266,BEN,"oncho,LF"
3268,BEN,"oncho,LF"
3269,BEN,"oncho,LF"
3270,BEN,"oncho,LF"
3271,BEN,"oncho,LF"
3272,BEN,"oncho,LF"
3273,BEN,"oncho,LF"
3276,BEN,"oncho,LF"
3278,BEN,"oncho,LF"
3279,BEN,"oncho,LF"
3280,BEN,"oncho,LF"
3281,BEN,"oncho,LF"
3282,BEN,"oncho,LF"
3283,BEN,"oncho,LF"
3284,BEN,"oncho,LF"
3286,BEN,"oncho,LF"
3287,BEN,"oncho,LF"
3288,BEN,"oncho,LF"
3289,BEN,"oncho,LF"
3212,BEN,oncho
3213,BEN,oncho
3216,BEN,oncho
3218,BEN,oncho
3219,BEN,oncho
3222,BEN,oncho
3223,BEN,oncho
3224,BEN,oncho
3227,BEN,oncho
3231,BEN,oncho
3232,BEN,oncho
3234,BEN,oncho
3235,BEN,oncho
3236,BEN,oncho
3237,BEN,oncho
3238,BEN,oncho
3239,BEN,oncho
3241,BEN,oncho
3242,BEN,oncho
3245,BEN,oncho
3247,BEN,oncho
3249,BEN,oncho
3250,BEN,oncho
3251,BEN,oncho
3252,BEN,oncho
3274,BEN,oncho
3285,BEN,oncho
5312,BFA,"oncho,LF"
5313,BFA,"oncho,LF"
5314,BFA,"oncho,LF"
5315,BFA,"oncho,LF"
5316,BFA,"oncho,LF"
5317,BFA,"oncho,LF"
5318,BFA,"oncho,LF"
5319,BFA,"oncho,LF"
5320,BFA,"oncho,LF"
5321,BFA,"oncho,LF"
5322,BFA,"oncho,LF"
5323,BFA,"oncho,LF"
5324,BFA,"oncho,LF"
5325,BFA,"oncho,LF"
5326,BFA,"oncho,LF"
5327,BFA,"oncho,LF"
5328,BFA,"oncho,LF"
5329,BFA,"oncho,LF"
5330,BFA,"oncho,LF"
5331,BFA,"oncho,LF"
5332,BFA,"oncho,LF"
5333,BFA,"oncho,LF"
5334,BFA,"oncho,LF"
5335,BFA,"oncho,LF"
5336,BFA,"oncho,LF"
5337,BFA,"oncho,LF"
5338,BFA,"oncho,LF"
5339,BFA,"oncho,LF"
5340,BFA,"oncho,LF"
5341,BFA,"oncho,LF"
5342,BFA,"oncho,LF"
5343,BFA,"oncho,LF"
5344,BFA,"oncho,LF"
5345,BFA,"oncho,LF"
5346,BFA,"oncho,LF"
5347,BFA,"oncho,LF"
5348,BFA,"oncho,LF"
5349,BFA,"oncho,LF"
5350,BFA,"oncho,LF"
5351,BFA,"oncho,LF"
5352,BFA,"oncho,LF"
5353,BFA,"oncho,LF"
5354,BFA,"oncho,LF"
5355,BFA,"oncho,LF"
5356,BFA,"oncho,LF"
5357,BFA,"oncho,LF"
5358,BFA,"oncho,LF"
5359,BFA,"oncho,LF"
5361,BFA,"oncho,LF"
5363,BFA,"oncho,LF"
5364,BFA,"oncho,LF"
5365,BFA,"oncho,LF"
5366,BFA,"oncho,LF"
5370,BFA,"oncho,LF"
5371,BFA,"oncho,LF"
5372,BFA,"oncho,LF"
5373,BFA,"oncho,LF"
5374,BFA,"oncho,LF"
53001,BFA,"oncho,LF"
